x,z,y
120.528,336.097,0.0
71.869,640.616,0.0
292.911,51.746,0.0
49.715,612.996,0.0
156.747,776.562,0.0
106.406,380.535,0.0
-40.161,392.092,0.0
362.735,407.784,0.0
386.812,195.042,0.0
458.065,213.715,0.0
-80.570,316.278,0.0
152.028,672.284,0.0
48.830,238.014,0.0
92.594,592.715,0.0
297.855,651.016,0.0
335.997,711.108,0.0
490.063,400.020,0.0
534.130,257.865,0.0
466.340,191.233,0.0
269.438,591.132,0.0
538.023,205.917,0.0
478.926,312.777,0.0
510.034,392.616,0.0
443.688,179.739,0.0
277.011,650.455,0.0
-32.989,410.566,0.0
-100.857,219.510,0.0
110.684,516.570,0.0
252.308,241.327,0.0
242.816,675.568,0.0
288.414,574.686,0.0
154.508,83.263,0.0
63.522,190.924,0.0
194.151,659.224,0.0
402.405,591.167,0.0
224.738,616.300,0.0
369.604,561.192,0.0
374.533,172.984,0.0
420.594,589.366,0.0
280.311,375.286,0.0
215.103,112.671,0.0
-128.519,546.730,0.0
-79.634,180.317,0.0
34.861,501.472,0.0
563.298,202.015,0.0
144.245,240.470,0.0
559.981,486.912,0.0
527.667,385.904,0.0
179.043,720.039,0.0
381.470,214.308,0.0
-72.143,498.384,0.0
273.001,682.324,0.0
29.077,389.137,0.0
58.527,486.263,0.0
525.552,642.721,0.0
314.292,708.518,0.0
-53.932,134.489,0.0
448.233,159.115,0.0
221.430,688.629,0.0
510.952,372.259,0.0
394.263,173.912,0.0
262.425,632.744,0.0
223.141,64.903,0.0
158.798,597.117,0.0
-59.664,560.375,0.0
505.777,286.401,0.0
414.518,400.094,0.0
370.684,363.256,0.0
444.849,616.973,0.0
106.278,417.937,0.0
210.722,238.160,0.0
351.713,285.526,0.0
303.675,614.745,0.0
358.013,217.220,0.0
187.757,74.398,0.0
262.800,137.987,0.0
108.199,88.432,0.0
362.869,481.237,0.0
558.279,529.032,0.0
498.666,358.620,0.0
102.085,535.175,0.0
345.206,689.494,0.0
306.251,251.295,0.0
364.714,584.822,0.0
313.490,409.295,0.0
-97.497,278.590,0.0
329.205,275.692,0.0
310.544,390.354,0.0
240.177,533.263,0.0
220.152,142.326,0.0
209.374,88.723,0.0
156.537,202.522,0.0
487.963,223.615,0.0
-72.369,163.445,0.0
346.415,319.650,0.0
47.183,377.810,0.0
416.670,626.442,0.0
85.869,215.562,0.0
529.215,184.743,0.0
-21.866,520.028,0.0
-18.633,155.759,0.0
521.604,561.753,0.0
-93.036,238.190,0.0
147.457,290.190,0.0
546.356,242.188,0.0
27.585,314.438,0.0
-84.100,528.286,0.0
253.236,342.428,0.0
204.857,330.820,0.0
568.866,556.784,0.0
424.226,196.853,0.0
102.600,492.871,0.0
2.654,441.596,0.0
156.582,734.474,0.0
51.309,559.630,0.0
112.536,607.690,0.0
440.304,486.181,0.0
301.644,305.824,0.0
-9.403,134.845,0.0
323.632,331.743,0.0
181.590,402.169,0.0
175.919,545.360,0.0
-92.191,611.297,0.0
212.923,514.982,0.0
281.249,220.231,0.0
341.943,533.350,0.0
240.135,700.871,0.0
-59.299,629.198,0.0
251.299,262.461,0.0
129.652,734.484,0.0
457.391,475.321,0.0
397.771,616.196,0.0
304.166,271.326,0.0
456.189,341.799,0.0
437.369,242.086,0.0
193.593,267.031,0.0
297.134,216.295,0.0
495.407,584.885,0.0
328.309,622.807,0.0
487.422,507.181,0.0
533.999,496.813,0.0
46.336,264.405,0.0
299.023,375.965,0.0
257.894,609.746,0.0
519.353,585.744,0.0
487.589,292.987,0.0
180.962,333.076,0.0
267.297,250.158,0.0
119.921,684.593,0.0
-83.791,260.254,0.0
-127.694,226.538,0.0
530.169,604.838,0.0
272.358,565.528,0.0
137.374,513.087,0.0
65.862,618.569,0.0
233.852,659.948,0.0
101.547,632.234,0.0
357.253,105.970,0.0
-33.203,306.455,0.0
260.015,320.279,0.0
69.628,559.910,0.0
61.850,539.276,0.0
541.283,564.002,0.0
47.283,433.520,0.0
216.147,365.108,0.0
231.677,720.205,0.0
158.223,317.393,0.0
118.911,292.267,0.0
360.302,608.065,0.0
517.294,442.803,0.0
233.199,270.040,0.0
313.282,367.981,0.0
194.293,632.173,0.0
-81.959,477.017,0.0
217.203,713.097,0.0
212.075,286.224,0.0
222.302,757.055,0.0
130.740,102.660,0.0
295.863,496.962,0.0
277.158,69.978,0.0
444.173,274.229,0.0
277.759,338.749,0.0
312.272,755.588,0.0
-86.960,552.924,0.0
282.449,123.508,0.0
179.315,4.176,0.0
280.146,92.408,0.0
541.899,429.950,0.0
190.530,559.309,0.0
446.915,647.104,0.0
354.780,427.526,0.0
230.152,515.267,0.0
2.125,191.338,0.0
143.224,68.086,0.0
456.344,591.294,0.0
-31.698,134.711,0.0
67.106,277.393,0.0
-18.178,616.126,0.0
519.470,500.776,0.0
483.335,562.503,0.0
459.997,423.474,0.0
469.288,645.174,0.0
-38.765,187.576,0.0
267.273,184.108,0.0
135.056,560.098,0.0
249.156,562.740,0.0
409.227,264.793,0.0
-13.815,643.491,0.0
24.242,182.408,0.0
470.022,523.545,0.0
83.070,419.965,0.0
481.483,539.446,0.0
141.879,26.180,0.0
481.998,421.992,0.0
-14.710,298.498,0.0
-51.673,500.791,0.0
322.270,96.008,0.0
387.504,640.863,0.0
5.205,169.438,0.0
-110.841,500.154,0.0
257.117,199.819,0.0
454.406,311.169,0.0
332.514,416.370,0.0
278.912,311.710,0.0
379.631,452.149,0.0
457.602,450.018,0.0
86.020,653.982,0.0
488.664,643.797,0.0
24.212,555.724,0.0
199.077,535.838,0.0
38.480,590.883,0.0
200.145,755.617,0.0
-112.374,236.791,0.0
